title,score,budget,revenue,profit,main_genre,language,is_english,country,cluster
Shazam! Fury of the Gods,69.0,125000000.0,132107025.0,7107025.0,Action,English,1,AU,0
Consecration,65.0,54060000.0,492646395.4,438586395.4,Horror,English,1,US,1
Shark Side of the Moon,53.0,10000.0,17887093.8,17877093.8,Action,English,1,US,1
Black Adam,71.0,200000000.0,391261706.0,191261706.0,Action,English,1,AU,0
Money Shot: The Pornhub Story,58.0,68500000.0,280052393.0,211552393.0,Documentary,English,1,US,3
M3GAN,74.0,12000000.0,167643991.0,155643991.0,Science Fiction,English,1,AU,1
Ant-Man and the Wasp: Quantumania,63.0,200000000.0,466001332.0,266001332.0,Science Fiction,English,1,AU,0
Sayen,62.0,73800000.0,370426090.8,296626090.8,Thriller,"Spanish, Castilian",0,Other,1
Die Hart,62.0,113000000.0,369995579.2,256995579.2,Action,English,1,US,1
13 Exorcisms,55.0,2480000.0,1891519.0,-588481.0,Drama,"Spanish, Castilian",0,ES,1
H.P. Lovecraft's Witch House,60.0,146740000.0,301123555.2,154383555.2,Horror,English,1,US,1
John Wick: Chapter 2,73.0,40000000.0,171539887.0,131539887.0,Action,English,1,AU,1
Sick,63.0,81800000.0,408307377.8,326507377.8,Horror,English,1,US,1
Black Warrant,54.0,116000000.0,378399280.8,262399280.8,Action,English,1,AU,1
Shotgun Wedding,63.0,16050000.0,4495365.0,-11554635.0,Action,English,1,AU,3
John Wick: Chapter 3 - Parabellum,74.0,55000000.0,326709727.0,271709727.0,Action,English,1,AU,1
Legion of Super-Heroes,63.0,113400000.0,778431865.2,665031865.2,Animation,English,1,US,0
Fall,73.0,3000000.0,16120263.0,13120263.0,Thriller,English,1,AU,1
Lord of the Streets,52.0,1000000.0,22790427.2,21790427.2,Action,English,1,US,1
Little Dixie,60.0,141340000.0,748525217.4,607185217.4,Thriller,English,1,US,1
The Whale,81.0,3000000.0,36752010.0,33752010.0,Drama,English,1,AU,3
Prey for the Devil,71.0,27240305.0,37655699.0,10415394.0,Horror,English,1,US,1
Bandit,62.0,115000000.0,484414431.0,369414431.0,Crime,English,1,US,1
Roald Dahl's Matilda the Musical,68.0,25000000.0,13276499.0,-11723501.0,Family,English,1,AU,0
The Simpsons Meet the Bocellis in Feliz Navidad,52.0,97200000.0,425726914.4,328526914.4,Animation,English,1,US,0
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,83.0,15800000.0,503063688.0,487263688.0,Animation,Japanese,0,AU,0
Huesera: The Bone Woman,58.0,135000000.0,670271186.2,535271186.20000005,Drama,"Spanish, Castilian",0,MX,1
The Last Heretic,55.0,122400000.0,344127931.8,221727931.8,Thriller,"Spanish, Castilian",0,Other,1
JUNG_E,63.0,66240000.0,580188584.0,513948584.0,Science Fiction,Korean,0,KR,0
A Man Called Otto,79.0,50000000.0,108973274.0,58973274.0,Comedy,English,1,AU,3
Champions,68.0,51880004.0,9263009.0,-42616995.0,Comedy,English,1,AU,3
Dungeons & Dragons: Honor Among Thieves,76.0,150000000.0,158598670.0,8598670.0,Adventure,English,1,AU,0
Troll,68.0,121400000.0,977795653.4,856395653.4,Fantasy,Other,0,AU,0
Sonic the Hedgehog 2,76.0,90000000.0,405421518.0,315421518.0,Action,English,1,AU,0
A Bronx Tale,78.0,10000000.0,17287898.0,7287898.0,Drama,English,1,AU,1
Big Trip 2: Special Delivery,65.0,95200000.0,416119951.4,320919951.4,Animation,Russian,0,AU,0
Encanto at the Hollywood Bowl,73.0,127000000.0,533207056.8,406207056.8,Music,English,1,US,3
The Forbidden Legend: Sex & Chopsticks 2,60.0,89600000.0,318375960.2,228775960.2,Comedy,Cantonese,0,HK,3
Top Gun: Maverick,83.0,170000000.0,1481369482.0,1311369482.0,Action,English,1,AU,3
On a Wing and a Prayer,65.0,147400000.0,445526734.8,298126734.8,Drama,English,1,US,1
Sniper: The White Raven,76.0,1000000.0,102414815.2,101414815.2,War,Other,0,Other,2
The Enforcer,74.0,1261569.0,102023958.0,100762389.0,Action,English,1,AU,1
Diabolik - Ginko Attacks,57.0,21680000.0,1228459.0,-20451541.0,Crime,Italian,0,IT,1
Scream VI,73.0,35000000.0,167273149.0,132273149.0,Horror,English,1,AU,1
Avatar,76.0,237000000.0,2923706026.0,2686706026.0,Action,English,1,AU,0
Breaking,67.0,72000000.0,318039059.2,246039059.2,Crime,English,1,US,1
Tetris,78.0,172000000.0,594334899.0,422334899.0,Thriller,English,1,GB,3
65,63.0,45000000.0,56072012.0,11072012.0,Thriller,English,1,AU,1
Thor: Love and Thunder,66.0,250000000.0,760928081.0,510928081.0,Fantasy,English,1,AU,0
Arctic Void,47.0,147200000.0,872776677.4,725576677.4,Science Fiction,English,1,US,1
Terrifier 2,69.0,250000.0,12964783.0,12714783.0,Horror,English,1,AU,1
John Wick,74.0,30000000.0,75958800.0,45958800.0,Action,English,1,AU,1
Spider-Man: No Way Home,80.0,200000000.0,1910048245.0,1710048245.0,Action,English,1,AU,0
R.I.P.D. 2: Rise of the Damned,66.0,52000000.0,539054106.6,487054106.6,Action,English,1,US,0
Dolphin Boy,65.0,115000000.0,489779661.0,374779661.0,Animation,Russian,0,Other,0
Guillermo del Toro's Pinocchio,82.0,35000000.0,81567666.2,46567666.2,Animation,English,1,AU,0
A Frozen Rooster,79.0,113880000.0,604874932.2,490994932.20000005,Animation,"Spanish, Castilian",0,MX,0
Dragon Ball Super: Super Hero,79.0,43602530.2,86562140.0,42959609.8,Animation,Japanese,0,AU,0
Nocebo,63.0,112000000.0,586323916.4,474323916.4,Mystery,English,1,US,1
Prey,78.0,65000000.0,0.0,-65000000.0,Thriller,English,1,AU,1
Hex,61.0,117480000.0,457839055.6,340359055.6,Action,English,1,US,1
Medieval,72.0,23000000.0,4311284.0,-18688716.0,Action,English,1,US,3
Barbie: Skipper and the Big Babysitting Adventure,73.0,134400000.0,716009340.2,581609340.2,Family,English,1,US,0
Super Mario Bros.,43.0,42000000.0,20844907.0,-21155093.0,Action,English,1,AU,0
Transfusion,64.0,104580000.0,260353036.4,155773036.4,Crime,English,1,AU,1
Jurassic World Dominion,69.0,165000000.0,1001978080.0,836978080.0,Adventure,English,1,AU,0
The Boss Baby: Christmas Bonus,68.0,51000000.0,455134472.8,404134472.8,Animation,English,1,US,0
Shazam!,70.0,85000000.0,363563907.0,278563907.0,Action,English,1,AU,0
El último hombre sobre la Tierra,65.0,100000000.0,246367071.0,146367071.0,Comedy,"Spanish, Castilian",0,Other,3
All Quiet on the Western Front,78.0,20000000.0,326479707.4,306479707.4,Drama,German,0,AU,2
Violent Night,76.0,20000000.0,76599607.0,56599607.0,Action,English,1,AU,1
Scream,67.0,24000000.0,138874789.0,114874789.0,Horror,English,1,AU,1
Scream,67.0,15000000.0,173046640.0,158046640.0,Horror,English,1,AU,1
Devotion,74.0,90000000.0,20000000.0,-70000000.0,War,English,1,AU,2
The Woman King,78.0,50000000.0,94374749.0,44374749.0,Action,English,1,AU,3
Evil Dead Rise,74.0,132500000.0,469254456.2,336754456.2,Horror,English,1,AU,1
Perfect Addiction,67.0,79800000.0,387664307.6,307864307.6,Drama,English,1,DE,3
Project Gemini,58.0,134000000.0,308786595.8,174786595.8,Science Fiction,English,1,Other,1
Doctor Strange in the Multiverse of Madness,74.0,200000000.0,952224986.0,752224986.0,Fantasy,English,1,AU,0
There Are No Saints,53.0,136400000.0,194565354.0,58165354.0,Action,English,1,AU,1
Avengers: Infinity War,83.0,300000000.0,2048359754.0,1748359754.0,Adventure,English,1,AU,0
Smile,68.0,17000000.0,216049734.0,199049734.0,Horror,English,1,AU,1
¡Que Viva México!,47.0,100100000.0,947468745.8,847368745.8,Comedy,"Spanish, Castilian",0,MX,3
Detective Knight: Independence,56.0,134200000.0,772865923.6,638665923.6,Action,English,1,US,1
Strange World,65.0,135000000.0,69566884.0,-65433116.0,Animation,English,1,AU,0
The Ten Commandments,78.0,13500000.0,85433929.0,71933929.0,Drama,English,1,AU,3
The Ten Commandments,78.0,10000000.0,1051907.0,-8948093.0,Drama,English,1,AU,3
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,80.0,129000000.0,645532173.4,516532173.4,Action,Japanese,0,JP,0
Four's a Crowd,63.0,110000000.0,271669045.6,161669045.60000002,Comedy,"Spanish, Castilian",0,ES,3
Minions: The Rise of Gru,75.0,80000000.0,939200081.0,859200081.0,Animation,English,1,AU,0
Creed II,70.0,50000000.0,213591522.0,163591522.0,Drama,English,1,AU,3
Creed,74.0,37000000.0,173567581.0,136567581.0,Drama,English,1,AU,3
Beast,68.0,36000000.0,59103794.0,23103794.0,Thriller,English,1,AU,1
My Name Is Vendetta,68.0,113000000.0,365992130.6,252992130.60000002,Action,Italian,0,AU,1
Wrath of Man,77.0,40000000.0,103913405.0,63913405.0,Action,English,1,AU,1
Jeepers Creepers: Reborn,57.0,5000000.0,5954938.0,954938.0,Horror,English,1,AU,1
Turning Red,75.0,175000000.0,10964971.0,-164035029.0,Animation,English,1,AU,0
Encanto,76.0,150000000.0,231120602.0,81120602.0,Animation,English,1,AU,0
Prancer: A Christmas Tale,59.0,86800000.0,284184080.0,197384080.0,Family,English,1,US,0
Magic Mike's Last Dance,72.0,45000000.0,52000000.0,7000000.0,Comedy,English,1,AU,3
"Lyle, Lyle, Crocodile",75.0,50000000.0,107644101.0,57644101.0,Comedy,English,1,AU,3
The Penitent Thief,62.0,15160689.0,23800.0,-15136889.0,Drama,English,1,AU,3
Hacksaw Ridge,82.0,40000000.0,169023926.0,129023926.0,Drama,English,1,AU,2
Venus,55.0,6000000.0,7818479.0,1818479.0,Drama,"Spanish, Castilian",0,ES,1
The Offering,57.0,103600000.0,134150172.6,30550172.599999994,Horror,English,1,US,1
Jujutsu Kaisen 0,82.0,21835777.0,195870885.0,174035108.0,Animation,Japanese,0,AU,0
The Batman,77.0,200000000.0,766326717.0,566326717.0,Crime,English,1,AU,1
Life in a Year,83.0,90000000.0,627851111.8,537851111.8,Drama,English,1,US,3
Super Mario Brothers: Great Mission to Rescue Princess Peach,60.0,151600000.0,675230189.0,523630189.0,Animation,Japanese,0,JP,0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",71.0,180000000.0,745013115.0,565013115.0,Adventure,English,1,AU,0
The Exorcism of God,72.0,1500000.0,123516163.2,122016163.2,Horror,English,1,AU,1
Ghosts of the Ozarks,63.0,113000000.0,548624602.6,435624602.6,Western,English,1,US,1
Kompromat,65.0,155140000.0,302915354.0,147775354.0,Thriller,French,0,AU,3
Matadero,60.0,73800000.0,346352260.6,272552260.6,Drama,"Spanish, Castilian",0,ES,3
Air,79.0,28519270.6,5000000.0,-23519270.6,Drama,English,1,AU,3
Disenchanted,70.0,142600000.0,524597714.8,381997714.8,Comedy,English,1,AU,0
Luck,79.0,147000000.0,721203091.4,574203091.4,Animation,English,1,AU,0
Bullet Train,75.0,85900000.0,238534963.0,152634963.0,Action,English,1,AU,1
Night at the Museum: Kahmunrah Rises Again,69.0,124400000.0,508761361.2,384361361.2,Animation,English,1,US,0
Blade of the 47 Ronin,67.0,131000000.0,431341845.4,300341845.4,Action,English,1,AU,1
Sing 2,80.0,85000000.0,404655351.0,319655351.0,Animation,English,1,AU,0
Shark Bait,59.0,106000000.0,591557010.2,485557010.20000005,Horror,English,1,GB,1
Shrek,77.0,50000000.0,491812794.0,441812794.0,Animation,English,1,AU,0
Orgasm Inc: The Story of OneTaste,64.0,77400000.0,431611098.0,354211098.0,Documentary,English,1,US,3
In His Shadow,62.0,133000000.0,407446362.4,274446362.4,Drama,French,0,FR,1
Savage Salvation,66.0,85645.0,244880855.2,244795210.2,Thriller,English,1,US,1
Sisu,74.0,6200000.0,58748957.6,52548957.6,War,Other,0,Other,2
"Tango, Tequila and Some Lies",77.0,105800000.0,667037174.8,561237174.8,Comedy,"Spanish, Castilian",0,MX,3
Hotel Transylvania: Transformania,71.0,116000000.0,557205138.2,441205138.20000005,Animation,English,1,AU,0
Operation Fortune: Ruse de Guerre,67.0,50000000.0,35800000.0,-14200000.0,Action,English,1,AU,1
Kids vs. Aliens,60.0,143200000.0,514828593.6,371628593.6,Science Fiction,English,1,US,1
Everything Everywhere All at Once,79.0,25000000.0,114900000.0,89900000.0,Action,English,1,AU,0
Glass Onion: A Knives Out Mystery,71.0,40000000.0,13280000.0,-26720000.0,Comedy,English,1,AU,1
Suro,73.0,80000000.0,522029092.4,442029092.4,Thriller,Other,0,ES,3
The Lair,59.0,118200000.0,307351568.6,189151568.60000002,Horror,English,1,GB,1
My Hero Academia: World Heroes' Mission,76.0,27164600.0,38410729.0,11246129.0,Animation,Japanese,0,AU,0
Unhappily Ever After,81.0,149000000.0,1109873157.4,960873157.4000001,Comedy,"Spanish, Castilian",0,MX,3
Evil Eye,68.0,1704500.0,223147806.6,221443306.6,Horror,"Spanish, Castilian",0,MX,1
Inspector Sun and the Curse of the Black Widow,68.0,98140000.0,494358731.6,396218731.6,Animation,"Spanish, Castilian",0,ES,0
The Price We Pay,60.0,126800000.0,985255868.8,858455868.8,Action,English,1,US,1
Lupin The 3rd vs. Cat’s Eye,60.0,89600000.0,367393887.6,277793887.6,Animation,Japanese,0,AU,0
Murder Mystery,63.0,24000000.0,205809600.8,181809600.8,Comedy,English,1,AU,3
Luz Mala,43.0,87600000.0,817860943.8,730260943.8,Horror,"Spanish, Castilian",0,Other,3
Babylon,75.0,110000000.0,63262638.0,-46737362.0,Drama,English,1,AU,3
The Lost City,66.0,74000000.0,182921990.0,108921990.0,Action,English,1,AU,0
The Lost City,66.0,9600000.0,5256839.0,-4343161.0,Action,English,1,AU,0
Detective Knight: Rogue,67.0,50000000.0,725034225.6,675034225.6,Action,English,1,US,1
Cop Secret,61.0,58100000.0,651717830.0,593617830.0,Comedy,Other,0,Other,1
The Quintessential Quintuplets Movie,84.0,2937023.8,17288993.0,14351969.2,Animation,Japanese,0,AU,3
Harry Potter and the Chamber of Secrets,77.0,100000000.0,874954530.0,774954530.0,Adventure,English,1,AU,0
Kill Boksoon,69.0,119100000.0,763309047.0,644209047.0,Action,Korean,0,KR,1
Candy Land,65.0,54060000.0,492646395.4,438586395.4,Horror,English,1,US,1
Venom: Let There Be Carnage,69.0,110000000.0,506863592.0,396863592.0,Science Fiction,English,1,AU,0
Harry Potter and the Philosopher's Stone,79.0,125000000.0,976475550.0,851475550.0,Adventure,English,1,AU,0
On the Count of Three,66.0,101600000.0,354385756.2,252785756.2,Comedy,English,1,AU,3
Uncharted,70.0,120000000.0,400689914.0,280689914.0,Action,English,1,AU,0
DC League of Super-Pets,74.0,90000000.0,203000000.0,113000000.0,Animation,English,1,AU,0
Moonfall,64.0,150000000.0,59053195.0,-90946805.0,Science Fiction,English,1,AU,1
Athena,67.0,75500000.0,509726081.0,434226081.0,Drama,French,0,FR,3
Unicorn Wars,64.0,50610000.0,27833.0,-50582167.0,Action,"Spanish, Castilian",0,ES,2
Teen Wolf: The Movie,78.0,150400000.0,327346026.2,176946026.2,Action,English,1,AU,0
Fantastic Beasts: The Secrets of Dumbledore,68.0,200000000.0,404560145.0,204560145.0,Fantasy,English,1,AU,0
Cars 3,69.0,175000000.0,383541369.0,208541369.0,Animation,English,1,AU,0
The Ledge,66.0,2500000.0,249984799.4,247484799.4,Thriller,English,1,US,1
The Big 4,71.0,98840000.0,339023160.4,240183160.39999998,Action,Other,0,Other,3
Interstellar,84.0,165000000.0,648082655.0,483082655.0,Adventure,English,1,AU,0
Viking Wolf,59.0,139000000.0,405888913.2,266888913.2,Horror,Other,0,AU,1
20th Century Girl,83.0,119.0,77132590.4,77132471.4,Romance,Korean,0,KR,3
The Soccer Football Movie,61.0,79000000.0,798590398.8,719590398.8,Animation,English,1,US,0
Boston Strangler,67.0,117000000.0,521124690.4,404124690.4,Thriller,English,1,AU,1
Close,78.0,26523270.6,3129968.0,-23393302.6,Drama,French,0,AU,3
Coraline,78.0,60000000.0,126037057.0,66037057.0,Animation,English,1,AU,0
Luther: The Fallen Sun,69.0,111400000.0,513441742.2,402041742.2,Thriller,English,1,AU,1
Harry Potter and the Goblet of Fire,78.0,150000000.0,886742787.0,736742787.0,Adventure,English,1,AU,0
Piggy,66.0,2400000.0,380512.0,-2019488.0,Thriller,"Spanish, Castilian",0,ES,1
Orphan: First Kill,68.0,51489867.0,9572765.0,-41917102.0,Horror,English,1,AU,1
Fullmetal Alchemist: The Final Alchemy,63.0,133200000.0,514445172.4,381245172.4,Action,Japanese,0,JP,0
Malcriados,78.0,116600000.0,586907459.0,470307459.0,Comedy,"Spanish, Castilian",0,MX,3
Polar,66.0,118000000.0,325759805.4,207759805.39999998,Action,"Spanish, Castilian",0,ES,1
Jesus,83.0,179800000.0,600820848.4,421020848.4,Drama,English,1,US,3
Harry Potter and the Half-Blood Prince,77.0,250000000.0,929411069.0,679411069.0,Adventure,English,1,AU,0
Legend of the Galactic Heroes: Die Neue These - Intrigue 1,61.0,138000000.0,337725907.8,199725907.8,Animation,Japanese,0,JP,0
Noise,49.0,147200000.0,1052163302.4,904963302.4,Drama,Other,0,US,3
The Infernal Machine,66.0,88200000.0,367763875.4,279563875.4,Thriller,English,1,US,1
Abandoned,63.0,97760000.0,384573450.8,286813450.8,Horror,English,1,US,1
The Ten Commandments: The Movie,72.0,39307171.0,37070177.0,-2236994.0,Drama,Other,0,Other,3
The Avengers,77.0,225000000.0,1515100211.0,1290100211.0,Science Fiction,English,1,AU,0
The Avengers,77.0,60000000.0,48585416.0,-11414584.0,Science Fiction,English,1,AU,0
Still Time,65.0,138000000.0,405994737.6,267994737.60000002,Romance,Italian,0,IT,3
Exodus: Gods and Kings,58.0,140000000.0,268314513.0,128314513.0,Adventure,English,1,AU,3
Wolf Hound,66.0,142000000.0,491960363.2,349960363.2,War,English,1,AU,2
F9,72.0,200000000.0,726229501.0,526229501.0,Action,English,1,AU,1
The Wolf of Wall Street,80.0,100000000.0,389816136.0,289816136.0,Crime,English,1,AU,3
Pinball: The Man Who Saved the Game,78.0,146000000.0,469006626.2,323006626.2,Comedy,English,1,US,3
"Tad, the Lost Explorer and the Emerald Tablet",76.0,119200000.0,379074781.8,259874781.8,Animation,"Spanish, Castilian",0,AU,0
Brothers,73.0,26000000.0,45043870.0,19043870.0,Drama,English,1,AU,2
Brothers,73.0,13000000.0,17856688.0,4856688.0,Drama,English,1,AU,2
Harry Potter and the Prisoner of Azkaban,80.0,130000000.0,789592708.0,659592708.0,Adventure,English,1,AU,0
Out of the Blue,46.0,4600000.0,731767.0,-3868233.0,Thriller,English,1,AU,1
RRR,78.0,69000000.0,160000000.0,91000000.0,Action,Other,0,AU,3
Broker,72.0,28648000.0,18632208.0,-10015792.0,Drama,Korean,0,AU,3
The Black Phone,78.0,17000000.0,161440742.0,144440742.0,Horror,English,1,AU,1
Tom and Jerry Snowman's Land,69.0,57440000.0,689333138.0,631893138.0,Family,English,1,US,0
Avengers: Endgame,83.0,400000000.0,2794731755.0,2394731755.0,Adventure,English,1,AU,0
MexZombies,71.0,74400000.0,486333316.0,411933316.0,Horror,"Spanish, Castilian",0,US,3
Harry Potter and the Order of the Phoenix,77.0,150000000.0,939619849.0,789619849.0,Adventure,English,1,AU,0
The Northman,71.0,70000000.0,69633110.0,-366890.0,Action,English,1,AU,0
I Believe,70.0,127600000.0,683545513.4,555945513.4,Family,English,1,US,3
Blue's Big City Adventure,74.0,132000000.0,352601141.6,220601141.60000002,Family,English,1,AU,0
After Ever Happy,69.0,24220050.0,12467270.0,-11752780.0,Romance,English,1,AU,3
On the Line,62.0,10000000.0,16222303.0,6222303.0,Thriller,English,1,AU,1
Ben-Hur,79.0,95000000.0,91669648.0,-3330352.0,Action,English,1,AU,3
Ben-Hur,79.0,15000000.0,73259017.0,58259017.0,Action,English,1,AU,3
The Next 365 Days,65.0,111600000.0,534358853.4,422758853.4,Romance,Other,0,US,3
Hocus Pocus 2,74.0,40000000.0,0.0,-40000000.0,Fantasy,English,1,AU,0
Morbius,62.0,75000000.0,162759437.0,87759437.0,Action,English,1,AU,0
Cars 2,61.0,200000000.0,560155383.0,360155383.0,Animation,English,1,AU,0
Tangled,76.0,260000000.0,583777242.0,323777242.0,Animation,English,1,AU,0
The Minute You Wake Up Dead,57.0,170000000.0,351483918.0,181483918.0,Thriller,English,1,AU,1
Fifty Shades of Grey,59.0,40000000.0,570794950.0,530794950.0,Drama,English,1,AU,3
Harry Potter and the Deathly Hallows: Part 2,81.0,125000000.0,1341511219.0,1216511219.0,Fantasy,English,1,AU,0
The Help,82.0,25000000.0,213120004.0,188120004.0,Drama,English,1,AU,3
"Monsters, Inc.",78.0,115000000.0,560483719.0,445483719.0,Animation,English,1,AU,0
The Ice Age Adventures of Buck Wild,67.0,143000000.0,508164908.0,365164908.0,Animation,English,1,AU,0
Samaritan,68.0,100000000.0,380428883.0,280428883.0,Action,English,1,US,1
Godzilla vs. Kong,77.0,155000000.0,468043852.0,313043852.0,Action,English,1,AU,0
Paradise City,58.0,20000000.0,161597374.4,141597374.4,Action,English,1,AU,1
Shang-Chi and the Legend of the Ten Rings,76.0,150000000.0,432224634.0,282224634.0,Action,English,1,AU,0
Zack Snyder's Justice League,82.0,70000000.0,136635234.2,66635234.19999999,Action,English,1,AU,0
Lightyear,71.0,200000000.0,218768299.0,18768299.0,Animation,English,1,AU,0
Ritual,71.0,102400000.0,502443287.6,400043287.6,Thriller,Other,0,Other,1
Love at First Kiss,62.0,178400000.0,324436308.4,146036308.39999998,Romance,"Spanish, Castilian",0,US,3
The Last Client,76.0,149400000.0,426175485.2,276775485.2,Thriller,Other,0,Other,1
Suzume,82.0,8224023.8,102258981.0,94034957.2,Animation,Japanese,0,AU,0
Pirates of the Caribbean: At World's End,72.0,300000000.0,961000000.0,661000000.0,Adventure,English,1,AU,0
King Shakir Recycle,57.0,87200000.0,387787979.0,300587979.0,Animation,Other,0,Other,0
The School for Good and Evil,72.0,137000000.0,750323829.8,613323829.8,Fantasy,English,1,AU,0
Monstrous,60.0,6320000.0,138450.0,-6181550.0,Horror,English,1,US,1
Shrek 2,72.0,70000000.0,935253978.0,865253978.0,Animation,English,1,AU,0
The Unbearable Weight of Massive Talent,68.0,30000000.0,29116320.0,-883680.0,Action,English,1,AU,1
Fifty Shades Freed,67.0,55000000.0,371985018.0,316985018.0,Drama,English,1,AU,3
El tirabeque,30.0,15541000.0,38139010.0,22598010.0,Comedy,"Spanish, Castilian",0,ES,3
The Battle at Lake Changjin: Water Gate Bridge,69.0,200000000.0,626203271.0,426203271.0,War,Chinese,0,AU,2
Spider-Man: Into the Spider-Verse,84.0,90000000.0,375540831.0,285540831.0,Action,English,1,AU,0
Harry Potter and the Deathly Hallows: Part 1,78.0,250000000.0,954305868.0,704305868.0,Adventure,English,1,AU,0
Emily the Criminal,68.0,116200000.0,572201947.0,456001947.0,Crime,English,1,AU,1
Emergency Declaration,77.0,18052672.0,19200000.0,1147328.0,Action,Korean,0,KR,1
Blood,58.0,107000000.0,297177664.0,190177664.0,Thriller,English,1,US,1
Memory,70.0,63400000.0,11300000.0,-52100000.0,Action,English,1,AU,1
Orgasm Lecture 2,100.0,201000000.0,1569323843.8,1368323843.8,Drama,Korean,0,KR,3
Whisper,64.0,20000.0,211802400.4,211782400.4,Horror,English,1,GB,1
The Shack,75.0,20000000.0,96860808.0,76860808.0,Drama,English,1,AU,3
Eternals,70.0,200000000.0,401731759.0,201731759.0,Science Fiction,English,1,AU,0
Doraemon: Nobita's Little Star Wars 2021,57.0,109000000.0,590124290.8,481124290.79999995,Animation,Japanese,0,JP,0
Dog,74.0,15000000.0,84677678.0,69677678.0,Drama,English,1,AU,3
The Invitation,64.0,1000000.0,354836.0,-645164.0,Horror,English,1,AU,1
The Conjuring: The Devil Made Me Do It,75.0,40000000.0,200266441.0,160266441.0,Horror,English,1,AU,1
3-D Sex and Zen: Extreme Ecstasy,48.0,3500000.0,10308238.0,6808238.0,Drama,Cantonese,0,HK,3
Control,54.0,6400000.0,8902141.0,2502141.0,Science Fiction,English,1,US,1
Mortal Kombat,71.0,55000000.0,83508259.0,28508259.0,Action,English,1,AU,0
Mortal Kombat,71.0,20000000.0,122133227.0,102133227.0,Action,English,1,AU,0
Pirates of the Caribbean: The Curse of the Black Pearl,78.0,140000000.0,655011224.0,515011224.0,Adventure,English,1,AU,0
Clifford the Big Red Dog,72.0,64000000.0,78418101.0,14418101.0,Family,English,1,AU,0
Dragon Knight,69.0,149000000.0,526557525.4,377557525.4,Fantasy,English,1,GB,0
Cruella,81.0,200000000.0,233503234.0,33503234.0,Comedy,English,1,AU,3
The Suicide Squad,76.0,185000000.0,167097737.0,-17902263.0,Action,English,1,AU,0
Drifting Home,76.0,119000000.0,583004188.8,464004188.79999995,Animation,Japanese,0,JP,0
The Bad Guys,77.0,70000000.0,250659286.0,180659286.0,Animation,English,1,AU,0
The Remaining,59.0,7270000.0,1169603.0,-6100397.0,Thriller,English,1,US,1
The Last: Naruto the Movie,78.0,903852.0,19840000.0,18936148.0,Action,Japanese,0,JP,3
Pirates of the Caribbean: On Stranger Tides,65.0,379000000.0,1045713802.0,666713802.0,Adventure,English,1,AU,0
There's Something Wrong with the Children,61.0,97200000.0,463920468.0,366720468.0,Horror,English,1,US,1
Prom Pact,75.0,96200000.0,412160901.0,315960901.0,Romance,English,1,AU,3
Coco,82.0,175000000.0,797660271.0,622660271.0,Family,English,1,AU,0
The Sea Beast,75.0,116200000.0,649271677.4,533071677.4,Animation,English,1,AU,0
Toy Story,80.0,30000000.0,365270951.0,335270951.0,Animation,English,1,AU,0
